fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,classe_real,classe_prevista,probabilidade_alta_qualidade,descricao_classe_real,descricao_classe_prevista
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,0,1,0.8028321096477377,Baixa ou média qualidade,Alta qualidade
6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,3.38,0.64,9.8,0,0,0.14846816928612147,Baixa ou média qualidade,Baixa ou média qualidade
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,0,0,0.11845600009236404,Baixa ou média qualidade,Baixa ou média qualidade
8.8,0.64,0.17,2.9,0.084,25.0,130.0,0.99818,3.23,0.54,9.6,0,0,0.014467427257395476,Baixa ou média qualidade,Baixa ou média qualidade
7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,3.33,0.78,11.0,1,1,0.5798013581561418,Alta qualidade,Alta qualidade
11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74,11.5,1,1,0.8350393085522945,Alta qualidade,Alta qualidade
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,0,0,0.032356286220261196,Baixa ou média qualidade,Baixa ou média qualidade
7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,0,0,0.09594379936319444,Baixa ou média qualidade,Baixa ou média qualidade
9.9,0.5,0.5,13.8,0.205,48.0,82.0,1.00242,3.16,0.75,8.8,0,1,0.5325106674576843,Baixa ou média qualidade,Alta qualidade
8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,0,0,0.036081609289878705,Baixa ou média qualidade,Baixa ou média qualidade
7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,0,0,0.01689487188470383,Baixa ou média qualidade,Baixa ou média qualidade
8.2,0.34,0.38,2.5,0.08,12.0,57.0,0.9978,3.3,0.47,9.0,0,0,0.040543628863686024,Baixa ou média qualidade,Baixa ou média qualidade
11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,0,1,0.8163084683797694,Baixa ou média qualidade,Alta qualidade
7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.99697,3.39,0.62,10.1,0,0,0.08900007683578186,Baixa ou média qualidade,Baixa ou média qualidade
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,0,0,0.13095685107843094,Baixa ou média qualidade,Baixa ou média qualidade
7.7,0.6,0.0,2.6,0.055,7.0,13.0,0.99639,3.38,0.56,10.8,0,0,0.24157385267641368,Baixa ou média qualidade,Baixa ou média qualidade
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,1,0,0.3368497164102995,Alta qualidade,Baixa ou média qualidade
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,0,0,0.05648641389375689,Baixa ou média qualidade,Baixa ou média qualidade
7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61,12.1,0,1,0.747233437259386,Baixa ou média qualidade,Alta qualidade
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,0,0,0.4454108429822124,Baixa ou média qualidade,Baixa ou média qualidade
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,0,0,0.1109412901930303,Baixa ou média qualidade,Baixa ou média qualidade
7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,0,0,0.09609491074435421,Baixa ou média qualidade,Baixa ou média qualidade
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0,0,0.0980725884767543,Baixa ou média qualidade,Baixa ou média qualidade
9.2,0.31,0.36,2.2,0.079,11.0,31.0,0.99615,3.33,0.86,12.0,1,1,0.9055774214848337,Alta qualidade,Alta qualidade
8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,1,1,0.9348984623211241,Alta qualidade,Alta qualidade
7.4,0.49,0.19,3.0,0.077,16.0,37.0,0.9966,3.37,0.51,10.5,0,0,0.17039942942521252,Baixa ou média qualidade,Baixa ou média qualidade
7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68,10.55,1,0,0.294880493948838,Alta qualidade,Baixa ou média qualidade
7.5,0.41,0.15,3.7,0.104,29.0,94.0,0.99786,3.14,0.58,9.1,0,0,0.03843327419464243,Baixa ou média qualidade,Baixa ou média qualidade
6.4,0.47,0.4,2.4,0.071,8.0,19.0,0.9963,3.56,0.73,10.6,0,0,0.31764678060653223,Baixa ou média qualidade,Baixa ou média qualidade
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.99294,3.36,0.62,12.2,0,1,0.8486493903621766,Baixa ou média qualidade,Alta qualidade
8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,0,0,0.08963806062410003,Baixa ou média qualidade,Baixa ou média qualidade
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,0,1,0.5164947148462296,Baixa ou média qualidade,Alta qualidade
7.5,0.59,0.22,1.8,0.0819999999999999,43.0,60.0,0.99499,3.1,0.42,9.2,0,0,0.05348612654365846,Baixa ou média qualidade,Baixa ou média qualidade
10.0,0.32,0.59,2.2,0.077,3.0,15.0,0.9994,3.2,0.78,9.6,0,0,0.33443702135768083,Baixa ou média qualidade,Baixa ou média qualidade
